iter	Passed	Remaining
0	193	57859
1	407	60699
2	599	59347
3	786	58211
4	975	57540
5	1164	57043
6	1349	56505
7	1539	56177
8	1737	56172
9	1919	55669
10	2086	54815
11	2267	54409
12	2459	54306
13	2644	54019
14	2807	53335
15	3014	53510
16	3201	53302
17	3386	53055
18	3563	52701
19	3745	52436
20	3920	52087
21	4089	51680
22	4268	51409
23	4420	50836
24	4611	50731
25	4779	50368
26	4954	50091
27	5153	50065
28	5325	49769
29	5501	49511
30	5717	49609
31	5931	49678
32	6141	49690
33	6341	49609
34	6546	49568
35	6732	49369
36	6925	49227
37	7120	49093
38	7300	48857
39	7467	48540
40	7661	48401
41	7867	48329
42	8086	48332
43	8291	48242
44	8494	48135
45	8700	48043
46	8913	47983
47	9096	47756
48	9281	47545
49	9453	47265
50	9578	46764
51	9761	46552
52	9969	46463
53	10179	46371
54	10380	46238
55	10562	46021
56	10725	45723
57	10882	45404
58	11083	45273
59	11280	45122
60	11469	44938
61	11666	44783
62	11856	44601
63	12055	44456
64	12256	44310
65	12460	44178
66	12671	44066
67	12863	43888
68	13053	43702
69	13256	43558
70	13454	43395
71	13649	43224
72	13838	43031
73	14038	42874
74	14292	42878
75	14484	42692
76	14683	42526
77	14853	42275
78	15032	42052
79	15210	41828
80	15344	41488
81	15427	41015
82	15507	40544
83	15589	40086
84	15826	40031
85	16028	39886
86	16202	39669
87	16431	39584
88	16598	39352
89	16790	39177
90	16991	39025
91	17184	38851
92	17369	38660
93	17541	38442
94	17748	38298
95	17934	38111
96	18133	37949
97	18317	37757
98	18505	37572
99	18662	37324
100	18851	37143
101	19048	36977
102	19240	36800
103	19427	36612
104	19613	36425
105	19811	36259
106	20025	36120
107	20225	35956
108	20404	35753
109	20601	35584
110	20795	35409
111	21002	35254
112	21237	35144
113	21440	34981
114	21631	34797
115	21821	34612
116	22022	34444
117	22218	34269
118	22411	34087
119	22621	33932
120	22822	33762
121	23037	33612
122	23230	33429
123	23409	33225
124	23594	33032
125	23783	32843
126	23964	32645
127	24150	32451
128	24315	32232
129	24483	32016
130	24634	31780
131	24835	31608
132	25006	31398
133	25173	31184
134	25365	31001
135	25580	30847
136	25771	30661
137	25944	30456
138	26133	30270
139	26336	30098
140	26572	29964
141	26750	29764
142	26939	29576
143	27117	29377
144	27301	29184
145	27504	29011
146	27674	28803
147	27875	28629
148	28081	28458
149	28252	28252
150	28434	28057
151	28633	27880
152	28797	27667
153	29000	27494
154	29197	27314
155	29399	27137
156	29596	26957
157	29809	26791
158	30060	26657
159	30281	26496
160	30496	26329
161	30710	26161
162	30916	25984
163	31079	25773
164	31282	25594
165	31487	25418
166	31677	25227
167	31848	25024
168	32060	24851
169	32268	24675
170	32469	24494
171	32666	24309
172	32846	24112
173	33054	23935
174	33221	23729
175	33422	23547
176	33615	23360
177	33795	23163
178	33978	22968
179	34195	22797
180	34408	22622
181	34594	22429
182	34780	22236
183	34986	22056
184	35194	21877
185	35396	21694
186	35595	21509
187	35804	21330
188	35988	21136
189	36193	20953
190	36390	20767
191	36595	20585
192	36756	20378
193	36936	20181
194	37125	19990
195	37314	19799
196	37518	19616
197	37713	19428
198	37911	19241
199	38092	19046
200	38288	18858
201	38473	18665
202	38668	18477
203	38867	18290
204	39066	18103
205	39273	17920
206	39485	17739
207	39676	17549
208	39891	17369
209	40100	17185
210	40276	16988
211	40466	16797
212	40659	16607
213	40857	16419
214	41037	16224
215	41246	16040
216	41433	15847
217	41636	15661
218	41821	15468
219	42009	15276
220	42199	15084
221	42389	14893
222	42588	14705
223	42783	14515
224	42971	14323
225	43171	14135
226	43360	13944
227	43549	13752
228	43723	13556
229	43921	13367
230	44130	13181
231	44332	12993
232	44556	12812
233	44838	12646
234	45026	12454
235	45250	12271
236	45451	12081
237	45641	11889
238	45827	11696
239	46026	11506
240	46227	11317
241	46427	11127
242	46624	10936
243	46801	10741
244	46993	10549
245	47190	10358
246	47404	10171
247	47598	9980
248	47788	9788
249	47974	9594
250	48134	9396
251	48326	9205
252	48512	9012
253	48699	8819
254	48897	8629
255	49106	8440
256	49309	8250
257	49507	8059
258	49697	7867
259	49888	7675
260	50092	7485
261	50270	7291
262	50462	7099
263	50642	6905
264	50836	6714
265	51024	6521
266	51233	6332
267	51425	6140
268	51620	5948
269	51790	5754
270	51969	5561
271	52151	5368
272	52344	5176
273	52547	4986
274	52754	4795
275	52947	4604
276	53119	4410
277	53328	4220
278	53535	4029
279	53736	3838
280	53925	3646
281	54120	3454
282	54305	3262
283	54512	3071
284	54708	2879
285	54900	2687
286	55091	2495
287	55278	2303
288	55463	2111
289	55659	1919
290	55864	1727
291	56048	1535
292	56267	1344
293	56498	1153
294	56683	960
295	56854	768
296	57043	576
297	57229	384
298	57433	192
299	57629	0
